SKU,ISBN,Format,Author,Publisher,PublicationDate,Title,Pages,Edition,DimsHeight,DimsWidth,DimsLength,DimsWeight,Language,ItemDescription,Binding,Condition,Price,Quantity,ImageUrl,category,subcategory
642656,9781853261862,Paperback,"Rex Collings","Wordsworth Editions Ltd",3/4/1996 12:00:00 AM,"Classic Victorian and Edwardian Ghost Stories (642656)",304,,12,124,195,204,,"A selection of ghost stories.",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_449603_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Horror & Ghost Stories"
711634,9780340042489,Paperback,"Ruby Ferguson","Hodder & Stoughton General Division",7/1/1977 12:00:00 AM,"Jill's Riding Club (711634)",192,,14,110,174,111,,,Paperback,Used; Good,3.49,2,,"Children's Books","Children's / Teenage Fiction & True Stories"
711806,9780571210701,Paperback,"Paul Auster","Faber & Faber",10/7/2002 12:00:00 AM,"True Tales of American Life (711806)",512,,33,128,195,340,,"Chosen by Paul Auster out of the four thousand stories submitted to his radio programme on National Public Radio these 180 stories provide a wonderful portrait of America in the twentieth century.",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_1734_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Humanities:History"
642731,9780263818994,Paperback,"Lynne Graham","HarperCollins Publishers",1/7/2000 12:00:00 AM,"Expectant Bride (642731)",192,,12,104,166,100,,,Paperback,Used; Good,3.49,1,,"Fiction","Romance"
642732,9781841882659,Paperback,"Susannah Constantine","Orion Publishing Co",6/8/2006 12:00:00 AM,"What Your Clothes Say About You (642732)",280,,18,158,210,650,,"How to change your image and feel fabulous.",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_402867_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Sports Hobbies & Games:Lifestyle & Personal Style Guides"
642838,9780708849217,Paperback,"Sara Fraser","Little Brown Book Group",6/27/1991 12:00:00 AM,"Tildy: Widow Woman (642838)",298,,24,108,174,165,,"It is 1828 and Tildy and her son have been evicted from their cottage. Rescued by David Lambert she also discovers from him that her violent husband has died in prison. Relieved Tildy anticipates a better future and her hopes are realized when she and David fall in love.",Paperback,Used; Good,3.49,1,,"Fiction","Modern & Contemporary Fiction (Post C 1945)"
642868,9780263882186,Paperback,"Karen Whiddon","HarperCollins Publishers",3/19/2010 12:00:00 AM,"Cry of the Wolf (642868)",224,,20,106,164,150,,,Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_252914_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Romance"
642885,9781863960151,Paperback,"Maryanne Blacker","Bauer Media Books",11/1/1993 12:00:00 AM,"Almost Vegetarian (642885)",118,,8,198,276,454,,"Innovative recipes should make this a useful source when creating any vegetarian dish. It is food that everyone should love because one can quickly add a little meat seafood or poultry if preferred.",Paperback,Used; Good,3.49,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_445034_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Sports Hobbies & Games:Cookery / Food & Drink etc"
642903,9780007266357,Paperback,"Stephen Fry","HarperCollins Publishers",5/28/2009 12:00:00 AM,"Stephen Fry in America (642903)",352,,27,130,196,320,,"<p>  Britain's best-loved comic genius Stephen Fry turns his celebrated wit and insight to unearthing the real America as he travels across the continent in his black taxicab. Stephen's account of his adventures is filled with his unique humour insight and warmth in the fascinating book that orginally accompanied his journey for the BBC1 series.</p>  ",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_212787_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Sports Hobbies & Games:Travel & Holiday"
642917,9781841196169,Hardcover,"James Munson","Little Brown Book Group",10/18/2002 12:00:00 AM,"Maria Fitzherbert (642917)",288,,37,126,203,380,,"<p>  The turbulent story of the Prince Regent's first wife</p>  ",Hardcover,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_428537_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Biography:Biography: General"
711556,9780330448352,Paperback,"Enid Blyton","Pan Macmillan",11/7/2008 12:00:00 AM,"The Valley of Adventure (711556)",304,,22,130,192,220,,"Another thrilling instalment in Enid Blyton's Adventure series - with a stunning retro look to appeal to a new generation of readers",Paperback,Used; Good,3.49,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_263579_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Children's Books","Children's / Teenage Fiction & True Stories"
711566,9780713994551,Hardcover,"Ryszard Kapuscinski","Penguin Books Ltd",6/7/2001 12:00:00 AM,"The Shadow of the Sun (711566)",336,,32,162,236,648,,"Sets out to create an account of post-colonial Africa seen at once as a whole and as a location that wholly defies generalised explanations. This book provides a sustained meditation on themosaic of peoples and practises we call 'Africa' and an attempt to come to terms with humanity itself as it struggles to escape from foreign domination.",Hardcover,Used; Good,4.24,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_314382_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Humanities:History"
711575,9780241133491,Paperback,"Carol Rogers","Penguin Books Ltd",4/3/1997 12:00:00 AM,"The Women's Guide to Herbal Medicine (711575)",240,,17,187,248,597,,"This women's self-help herbal book includes everything from preparing formulas dosages and diagnoses to an overview of herbal medicine's place in alternative medicine. The second section of the book deals specifically with women's ailments - listed alphabetically alongside their herbal remedies.",Paperback,Used; Good,3.65,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_255090_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Health Family & Lifestyle:Family & Health"
711672,9780091136314,Paperback,"Jean Taylor","Cornerstone",2/26/1973 12:00:00 AM,"Creative Flower Arrangement (711672)",388,,25,137,215,589,,"A fully illustrated guide which describes the skills and techniques involved in flower arranging. It deals with equipment how to prepare and condition plant material how to make containers plaques swags and garlands and how to preserve certain plants by various methods.",Paperback,Used; Good,3.49,1,,"Non-fiction","Sports Hobbies & Games:Handicrafts Decorative Arts & Crafts"
711713,9780141010465,Paperback,"Ben Fogle","Penguin Books Ltd",8/5/2004 12:00:00 AM,"The Teatime Islands (711713)",288,,22,122,196,248,,"Welcomed with open arms derided as a pig-ignorant tourist and occasionally mocked mercilessly for his trouble the author visited the last flag-flying outposts of the British Empire. This book sets out to discover just exactly who would choose to live on islands as remote as these and - more importantly - try to figure out exactly why.",Paperback,Used; Good,3.49,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_243336_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Sports Hobbies & Games:Travel & Holiday"
711984,9780006753674,Paperback,"Michael Bond","HarperCollins Publishers",9/7/1998 12:00:00 AM,"Paddington at Work (711984)",144,,10,130,192,130,,"<p>  To celebrate Paddington Bear's 60th birthday in 2018 this hilarious classic novel from master storyteller Michael Bond has been given a fresh new look. Paddington is now a major movie star!</p>  ",Paperback,Used; Good,3.49,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_220491_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Children's Books","Children's / Teenage Fiction & True Stories"
642645,9780440864141,Paperback,"Jacqueline Wilson","Penguin Random House Children's UK",10/1/1998 12:00:00 AM,"Jacqueline Wilson Double Decker (642645)",384,,26,130,190,266,,"<br />  <br />  Mum isn't happy - she thinks Tanya's a BAD GIRL and a bad influence on her daughter. But Mandy loves spending time with her brilliant new friend and is sure Tanya can only get her out of trouble not into it .",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_203337_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Children's Books","Children's / Teenage Fiction & True Stories"
642723,9780752849805,Paperback,"Michael Connelly","Orion Publishing Co",9/1/2003 12:00:00 AM,"Chasing the Dime (642723)",368,,29,111,178,140,,"From #1 bestselling author Michael Connelly a searing thriller about a simple wrong number that opens a line into terror.",Paperback,Used; Good,3.49,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_22988_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Crime & Mystery"
642775,9780140621341,Paperback,"Saki","Penguin Books Ltd",10/27/1994 12:00:00 AM,"The Best of Saki (642775)",192,,17,111,181,118,,"These 37 stories have been chosen from the complete omnibus volume of Saki's short stories published between 1904 and 1923. The stories are taken from: ""Reginald"" (1904) ""Reginald in Russia"" (1910) ""The Chronicles of Clovis"" (1911) ""Beasts and Super Beasts"" (1914) and ""The Toys of Peace"" (1923).",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_198860_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Modern & Contemporary Fiction (Post C 1945)"
642789,9781898435129,Paperback,"Johanna Mathie","J Salmon Ltd",11/30/1996 12:00:00 AM,"Favourite Scottish Recipes (642789)",48,,10,114,166,41,,,Paperback,Used; Good,3.49,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_148713_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Sports Hobbies & Games:Cookery / Food & Drink etc"
642802,9780593053850,Hardcover,"Sophie Kinsella","Transworld Publishers Ltd",6/1/2005 12:00:00 AM,"The Undomestic Goddess (642802)",368,,36,140,234,660,,"She learns how to bake bread she learns how to slow down. But then her old life threatens to catch up with her. And when it does...will she want it back?",Hardcover,Used; Good,3.49,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_288560_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Modern & Contemporary Fiction (Post C 1945)"
642811,9780330481649,Paperback,"J. Randy Taraborrelli","Pan Macmillan",4/12/2002 12:00:00 AM,"Madonna (642811)",432,,30,128,196,324,,"The massive bestselling biography of this international diva - updated with the latest news.",Paperback,Used; Good,3.49,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_262218_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Arts & Photography:Music (Books)"
642856,9780552148344,Paperback,"Catherine Cookson","Transworld Publishers Ltd",9/15/1993 12:00:00 AM,"Maggie Rowan (642856)",384,,28,106,174,201,,,Paperback,Used; Good,3.49,3,http://choicetextileimages.blob.core.windows.net/img-1/stand_206958_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Sagas"
642871,9780007243334,Hardcover,"David Quantick","HarperCollins Publishers",10/15/2007 12:00:00 AM,"Grumpy Old Men (642871)",192,,22,134,200,370,,"Following the phenomenal success of 'Grumpy Old Men' and 'Grumpy Old Men on Holiday' the guru of grump David Quantick takes a stand for miserable slobs everywhere against the self-help motivational mafia and keep-fit claptrap. The ultimate in stress-relief for the 21st-Century Grouch.",Hardcover,Used; Good,3.49,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_168238_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Sports Hobbies & Games:Humour"
642913,9780140131918,Paperback,"John Hooper","Penguin Books Ltd",1/26/1995 12:00:00 AM,"The New Spaniards (642913)",496,,22,127,195,348,,"Describes the Spain that has emerged since the death of Franco a country of immense industrial and cultural creativity of police trade unions and wife-swapping bars a federal monarchy with a tax-paying king a welfare state in which three-quarters of the unemployed do not qualify for assistance.",Paperback,Used; Good,3.49,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_859505_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Society & Social Sciences:Politics & Government"
642921,9781852833565,Paperback,"Craig Charles","Pan Macmillan",10/31/1993 12:00:00 AM,"Craig Charles Almanac of Total Knowledge (642921)",128,,12,144,204,241,,"Craig Charles turns his 'streetwise' sense of humour  on to a range of topics from the world's most embarrassing stories to how to explain the mysteries of the universe.",Paperback,Used; Good,3.49,1,,"Non-fiction","Health Family & Lifestyle:Mind Body Spirit"
711493,9781408308165,Paperback,"Daisy Meadows","Hachette Children's Group",3/25/2010 12:00:00 AM,"Rainbow Magic: Amelie the Seal Fairy (711493)",80,,8,132,196,82,,"Get ready for an exciting fairy adventure with the no. 1 bestselling series for girls aged 5 and up.",Paperback,Used; Good,3.49,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_386448_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Children's Books","Children's / Teenage Fiction & True Stories"
711524,9780373762682,Paperback,"Anne Marie Winston","HarperCollins Publishers",1/19/2001 12:00:00 AM,"The Pregnant Princess (711524)",192,,15,104,167,68,,,Paperback,Used; Good,3.49,1,,"Fiction","Romance"
711612,9780711218857,Paperback,"Alexander Sturgis","Frances Lincoln Publishers Ltd",5/1/2003 12:00:00 AM,"Dan's Angel (711612)",40,,8,224,274,222,,"When Dan finds himself locked inside a museum after closing hours he discovers a world or art he'd never dreamed possible - a lively original introduction to art.",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_316858_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Children's Books","Educational Material"
711732,9781840244526,Paperback,"Doreen Tovey","Summersdale Publishers",7/27/2005 12:00:00 AM,"Cats in the Belfry (711732)",192,,26,128,196,160,,"<p>  Doreen Tovey and her husband acquire their first Siamese kitten to rid themselves of an invasion of mice. But Sugieh quickly establishes herself as queen of the house causing chaos by screaming like a banshee and tearing holes in anything made of wool. This witty and moving story is an enjoyable read for anyone who's ever been owned by a cat.</p>  ",Paperback,Used; Good,3.49,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_133189_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Sports Hobbies & Games:Natural History"
642648,9780746073520,Paperback,"George E. Hyde","Usborne Publishing Ltd",2/25/2006 12:00:00 AM,"Butterflies (642648)",64,,10,108,186,104,,"For enthusiasts keen to discover the many fascinating aspects of the natural world. This book has full-colour illustrations of around 100-200 different species per title that have been reproduced from the original artwork. It provides ideal field guides for both children and adults and incredible value for money.",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_102834_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Children's Books","Children's / Teenage: General Non-Fiction"
642652,9780091872779,Hardcover,"John. Grisham","Cresset",1/1/1999 12:00:00 AM,"THE CLIENT. THE STREET LAWYER. (642652)",354,,62,136,208,681,,,Hardcover,Used; Good,3.49,1,,"General",""
642702,9781405444125,Paperback,"P","Parragon Plus",3/10/2005 12:00:00 AM,"1001 Days Out with Your Kids (642702)",384,,24,188,238,1205,,,Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_127872_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Sports Hobbies & Games:Travel & Holiday"
642727,9780752881720,Paperback,"Robert Ludlum","Orion Publishing Co",7/11/2007 12:00:00 AM,"The Bancroft Strategy (642727)",528,,44,110,178,275,,"The superb international thriller from the globally bestselling master of the genre.",Paperback,Used; Good,3.49,4,http://choicetextileimages.blob.core.windows.net/img-1/stand_103171_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Thriller / Suspense"
642740,9780340718261,Paperback,"Mike Gayle","Hodder & Stoughton",2/3/2000 12:00:00 AM,"Mr Commitment (642740)",336,,24,130,197,226,,"No 1 bestselling author of MY LEGENDARY GIRLFRIEND returns with this wickedly observed second novel about modern relationships: does Mr Irresponsible have what it takes to become Mr Commitment?",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_865047_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Modern & Contemporary Fiction (Post C 1945)"
642744,9780006370475,Paperback,"Philip Ziegler","HarperCollins Publishers",5/12/1986 12:00:00 AM,"Mountbatten (642744)",786,,48,129,187,1,,"A biography of Louis the 1st Earl Mountbatten of Burma. It examines his long and distinguished career his wartime activites as Allied Chief of Combined Operations and his time as Viceroy and Governor General of India.",Paperback,Used; Good,3.49,1,,"Non-fiction","Biography:Biography: General"
642785,9780753505090,Paperback,"Brian Johnston","Ebury Publishing",7/5/2001 12:00:00 AM,"A Delicious Slice Of Johnners (642785)",400,,32,130,190,375,,"Following Brian Johnston's death in 1994 Prime Minister John Major appeared to speak for the nation when he remarked that 'Summers will never be the same'.",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_357776_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Arts & Photography:Film TV & Radio"
642790,9780006512059,Paperback,"Boris Starling","HarperCollins Publishers",7/3/2000 12:00:00 AM,"Storm (642790)",480,,34,106,178,252,,"Elemental rage bloody Greek myth man's greed and capacity for cruelty the insane imaginings of a killer all intermingle in this stunning new thriller from the bestselling author of Messiah to create a novel of stunning ferocity.",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_835929_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Thriller / Suspense"
642797,9780099481867,Paperback,"Sean Stewart","Cornerstone",12/2/2004 12:00:00 AM,"Star Wars: Dark Rendezvous (642797)",352,,32,110,175,189,,"Never before has Yoda the most famous Jedi Master ever starred in his own Star Wars novel. Now at long last he gets the spotlight against the backdrop of the Clone Wars and the collapse of the Republic - the Jedi's greatest challenge and as of the movie premiering in May 2005 their ultimate downfall!",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_217558_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Science Fiction"
642853,9780099502944,Paperback,"Leslie Thomas","Cornerstone",7/3/2008 12:00:00 AM,"Soldiers and Lovers (642853)",368,,28,111,181,196,,"David Hopkins a young fisherman from west Wales and Kate Medhurst from a genteel town in the Thames Valley embark upon an idyllic love affair away from the conflict that surrounds them.",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_200555_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Classic Fiction (Pre C 1945)"
